Id,Consumption,Temperature,Time,DailySeasonality,WeeklySeasonality
0,3853.4753920000003,20.9,0,0,48
1,3683.0141053333296,20.7,1,1,49
2,3912.3240306666708,20.5,2,2,50
3,3783.8811806666704,20.05,3,3,51
4,3554.257244,19.6,4,4,52
5,3362.2433840000003,19.2,5,5,53
6,3240.52673533333,18.8,6,6,54
7,3187.43871466667,18.45,7,7,55
8,3220.471434,18.1,8,8,56
9,3298.80356533333,18.0,9,9,57
10,3479.34158866667,17.9,10,10,58
11,3717.4397613333294,18.4,11,11,59
12,4029.4527,18.9,12,12,60
13,4332.721454666671,20.75,13,13,61
14,4312.38636666667,22.6,14,14,62
15,4480.021994,23.8,15,15,63
16,4629.0386340000005,25.0,16,16,64
17,4712.318188666671,25.9,17,17,65
18,4826.336852666671,26.8,18,18,66
19,4919.955922666671,26.85,19,19,67
20,5032.055879333329,26.9,20,20,68
21,5103.486592,28.2,21,21,69
22,5169.196282,29.5,22,22,70
23,5167.0255593333295,30.85,23,23,71
24,5230.395908666671,32.2,24,24,72
25,5293.8503359999995,32.65,25,25,73
26,5359.196984666671,33.1,26,26,74
27,5400.0095759999995,32.65,27,27,75
28,5423.09703266667,32.2,28,28,76
29,5476.979904,32.1,29,29,77
30,5488.73246733333,32.0,30,30,78
31,5577.8892479999995,31.75,31,31,79
32,5534.68925066667,31.5,32,32,80
33,5435.5936,30.95,33,33,81
34,5232.204241333329,30.4,34,34,82
35,5012.544847333329,29.4,35,35,83
36,4785.0454740000005,28.4,36,36,84
37,4609.0277606666705,27.25,37,37,85
38,4437.857028666671,26.1,38,38,86
39,4316.187767333329,24.85,39,39,87
40,4347.081064,23.6,40,40,88
41,4230.32139,22.8,41,41,89
42,4037.2246093333297,22.0,42,42,90
43,3870.0368399999998,21.35,43,43,91
44,3773.749482,20.7,44,44,92
45,3696.7197493333297,20.4,45,45,93
46,4060.3960633333295,20.1,46,46,94
47,4019.1024413333294,19.25,47,47,95
48,3842.6478613333293,18.4,48,0,96
49,3696.4888046666706,18.15,49,1,97
50,3929.4994753333294,17.9,50,2,98
51,3822.7849899999997,17.7,51,3,99
52,3582.6046893333296,17.5,52,4,100
53,3408.17793933333,17.3,53,5,101
54,3298.0420226666697,17.1,54,6,102
55,3250.91439533333,16.75,55,7,103
56,3290.522984,16.4,56,8,104
57,3348.49578733333,16.3,57,9,105
58,3553.2488413333294,16.2,58,10,106
59,3750.358068,17.0,59,11,107
60,4078.658214,17.8,60,12,108
61,4346.650108,19.6,61,13,109
62,4393.75050466667,21.4,62,14,110
63,4505.693677333329,22.55,63,15,111
64,4648.106585333329,23.7,64,16,112
65,4728.780663333329,24.85,65,17,113
66,4810.9689993333295,26.0,66,18,114
67,4887.97298733333,26.3,67,19,115
68,4948.66052,26.6,68,20,116
69,5046.923796666671,27.55,69,21,117
70,5103.976852000001,28.5,70,22,118
71,5146.89400466667,29.05,71,23,119
72,5259.062082666671,29.6,72,24,120
73,5310.161218666671,30.2,73,25,121
74,5363.883662666671,30.8,74,26,122
75,5431.440042,31.05,75,27,123
76,5499.038772,31.3,76,28,124
77,5540.23734933333,31.0,77,29,125
78,5597.50881266667,30.7,78,30,126
79,5653.49069533333,30.6,79,31,127
80,5661.404834,30.5,80,32,128
81,5601.26533133333,30.45,81,33,129
82,5376.7404686666705,30.4,82,34,130
83,5181.12735133333,30.05,83,35,131
84,4974.19695733333,29.7,84,36,132
85,4845.72169466667,29.25,85,37,133
86,4676.881524,28.8,86,38,134
87,4607.05311266667,27.85,87,39,135
88,4631.288415999999,26.9,88,40,136
89,4518.788440666671,26.05,89,41,137
90,4323.32855733333,25.2,90,42,138
91,4096.224379333329,24.7,91,43,139
92,3950.3066826666704,24.2,92,44,140
93,3851.6954026666704,23.3,93,45,141
94,4191.719839333329,22.4,94,46,142
95,4164.60928066667,22.05,95,47,143
96,3936.5034893333295,21.7,96,0,144
97,3783.6144686666707,21.5,97,1,145
98,3994.7758813333294,21.3,98,2,146
99,3870.8872460000002,20.8,99,3,147
100,3630.2184353333296,20.3,100,4,148
101,3472.24880466667,19.95,101,5,149
102,3349.1306426666697,19.6,102,6,150
103,3315.25293,19.7,103,7,151
104,3329.21764666667,19.8,104,8,152
105,3443.34134266667,19.7,105,9,153
106,3615.59705,19.6,106,10,154
107,3842.1715159999994,20.1,107,11,155
108,4180.097091333329,20.6,108,12,156
109,4478.913166666671,22.25,109,13,157
110,4487.468711333329,23.9,110,14,158
111,4632.13530533333,24.6,111,15,159
112,4783.702734666671,25.3,112,16,160
113,4877.521453333329,25.5,113,17,161
114,4979.29592933333,25.7,114,18,162
115,5066.085762,26.75,115,19,163
116,5127.182584666671,27.8,116,20,164
117,5233.054267333329,29.15,117,21,165
118,5335.93269,30.5,118,22,166
119,5379.31825733333,31.25,119,23,167
120,5468.310748,32.0,120,24,168
121,5543.8135426666695,32.1,121,25,169
122,5648.29477733333,32.2,122,26,170
123,5690.58910466667,32.1,123,27,171
124,5748.21232866667,32.0,124,28,172
125,5788.40547933333,32.4,125,29,173
126,5870.99799333333,32.8,126,30,174
127,5894.050508,32.55,127,31,175
128,5874.2285073333305,32.3,128,32,176
129,5841.85735733333,31.45,129,33,177
130,5634.986174000001,30.6,130,34,178
131,5472.483363333329,30.5,131,35,179
132,5236.709656,30.4,132,36,180
133,5060.292814,29.85,133,37,181
134,4895.020634666671,29.3,134,38,182
135,4797.3698826666705,28.6,135,39,183
136,4773.214256666671,27.9,136,40,184
137,4689.9473146666705,26.95,137,41,185
138,4473.84021,26.0,138,42,186
139,4236.104981333329,25.4,139,43,187
140,4058.8711026666706,24.8,140,44,188
141,3967.4612646666706,24.85,141,45,189
142,4313.933534000001,24.9,142,46,190
143,4217.269336666671,24.05,143,47,191
144,4009.9206773333294,23.2,144,0,192
145,3843.6568653333293,22.75,145,1,193
146,4050.112436,22.3,146,2,194
147,3905.1964759999996,21.6,147,3,195
148,3684.7082313333294,20.9,148,4,196
149,3514.202136,20.8,149,5,197
150,3428.17515133333,20.7,150,6,198
151,3377.943436,20.3,151,7,199
152,3396.95327466667,19.9,152,8,200
153,3488.64371066667,19.75,153,9,201
154,3682.4863179999998,19.6,154,10,202
155,3909.596928,20.9,155,11,203
156,4264.73218533333,22.2,156,12,204
157,4535.30255133333,23.3,157,13,205
158,4593.943494,24.4,158,14,206
159,4714.311427333329,24.6,159,15,207
160,4875.476647333329,24.8,160,16,208
161,4966.61090866667,25.6,161,17,209
162,5055.37002466667,26.4,162,18,210
163,5137.47281733333,27.45,163,19,211
164,5260.285576666671,28.5,164,20,212
165,5350.66206866667,29.15,165,21,213
166,5419.465107999999,29.8,166,22,214
167,5498.59276066667,30.3,167,23,215
168,5600.75296466667,30.8,168,24,216
169,5692.64770666667,31.65,169,25,217
170,5750.242164,32.5,170,26,218
171,5817.66150666667,33.05,171,27,219
172,5867.0181506666695,33.6,172,28,220
173,5868.040078,33.65,173,29,221
174,5976.22702333333,33.7,174,30,222
175,5959.56062866667,33.45,175,31,223
176,5963.27556733333,33.2,176,32,224
177,5881.81582533333,33.2,177,33,225
178,5649.29351266667,33.2,178,34,226
179,5471.68651,32.95,179,35,227
180,5248.31270733333,32.7,180,36,228
181,5089.86105133333,32.2,181,37,229
182,4921.544784000001,31.7,182,38,230
183,4841.98063533333,31.1,183,39,231
184,4784.9162193333295,30.5,184,40,232
185,4675.838152666671,29.1,185,41,233
186,4483.493428,27.7,186,42,234
187,4262.516013333329,26.85,187,43,235
188,4131.120984,26.0,188,44,236
189,4041.8397553333293,25.5,189,45,237
190,4403.91314866667,25.0,190,46,238
191,4270.536976666671,24.55,191,47,239
192,4024.4415406666703,24.1,192,0,240
193,3823.34191,23.4,193,1,241
194,4065.0936613333297,22.7,194,2,242
195,3894.9360306666704,22.35,195,3,243
196,3665.6516353333295,22.0,196,4,244
197,3480.909892,21.7,197,5,245
198,3368.420482,21.4,198,6,246
199,3294.23886266667,21.0,199,7,247
200,3263.4533826666698,20.6,200,8,248
201,3267.68909066667,20.8,201,9,249
202,3381.73688133333,21.0,202,10,250
203,3458.038746,21.05,203,11,251
204,3556.9428686666706,21.1,204,12,252
205,3687.0080206666707,21.55,205,13,253
206,3765.1325253333293,22.0,206,14,254
207,3862.1467846666706,22.15,207,15,255
208,3995.7496646666705,22.3,208,16,256
209,4107.55437333333,23.25,209,17,257
210,4176.33838466667,24.2,210,18,258
211,4211.316668666671,24.65,211,19,259
212,4305.755468,25.1,212,20,260
213,4349.976116,25.9,213,21,261
214,4405.471046,26.7,214,22,262
215,4455.710922,25.6,215,23,263
216,4441.66817533333,24.5,216,24,264
217,4420.15999266667,24.8,217,25,265
218,4376.606166,25.1,218,26,266
219,4344.68996066667,24.5,219,27,267
220,4289.769360666671,23.9,220,28,268
221,4298.816947333329,23.2,221,29,269
222,4296.396848666671,22.5,222,30,270
223,4324.130441333329,22.6,223,31,271
224,4280.418576666671,22.7,224,32,272
225,4266.81384866667,22.15,225,33,273
226,4268.676191333329,21.6,226,34,274
227,4156.774652,21.65,227,35,275
228,4058.0822973333293,21.7,228,36,276
229,3946.3185433333297,21.65,229,37,277
230,3943.6838493333294,21.6,230,38,278
231,3951.2575913333294,21.4,231,39,279
232,3982.7586073333296,21.2,232,40,280
233,3961.9916333333294,20.95,233,41,281
234,3850.1095013333293,20.7,234,42,282
235,3733.2553353333296,20.6,235,43,283
236,3689.0139413333295,20.5,236,44,284
237,3639.1100586666707,20.4,237,45,285
238,4018.3322293333295,20.3,238,46,286
239,3965.5143393333296,20.15,239,47,287
240,3805.6057773333296,20.0,240,0,288
241,3644.6250573333296,20.05,241,1,289
242,3870.3934280000003,20.1,242,2,290
243,3738.2473493333296,20.05,243,3,291
244,3544.2035393333294,20.0,244,4,292
245,3360.93898133333,19.85,245,5,293
246,3201.53606133333,19.7,246,6,294
247,3135.4965620000003,19.7,247,7,295
248,3085.580076,19.7,248,8,296
249,3097.60128533333,19.75,249,9,297
250,3119.20749,19.8,250,10,298
251,3139.377372,19.85,251,11,299
252,3213.23267533333,19.9,252,12,300
253,3299.27668466667,19.85,253,13,301
254,3299.58702266667,19.8,254,14,302
255,3395.719108,19.95,255,15,303
256,3473.5042299999996,20.1,256,16,304
257,3575.5530733333294,19.8,257,17,305
258,3635.3694826666706,19.5,258,18,306
259,3662.9858613333295,19.8,259,19,307
260,3709.0688920000002,20.1,260,20,308
261,3756.3079873333295,20.15,261,21,309
262,3791.8552,20.2,262,22,310
263,3756.274286,20.4,263,23,311
264,3776.4406346666706,20.6,264,24,312
265,3726.4380573333297,20.05,265,25,313
266,3714.7323733333296,19.5,266,26,314
267,3685.4575186666707,19.4,267,27,315
268,3667.0567733333296,19.3,268,28,316
269,3717.3904353333296,19.55,269,29,317
270,3730.4617380000004,19.8,270,30,318
271,3784.0619033333296,20.2,271,31,319
272,3808.3803799999996,20.6,272,32,320
273,3844.7068299999996,20.5,273,33,321
274,3837.277864,20.4,274,34,322
275,3769.862362,20.1,275,35,323
276,3726.8314286666705,19.8,276,36,324
277,3656.1313726666704,19.5,277,37,325
278,3619.4709553333296,19.2,278,38,326
279,3628.9769386666703,18.85,279,39,327
280,3745.4162993333293,18.5,280,40,328
281,3691.5936706666707,18.25,281,41,329
282,3609.0907166666707,18.0,282,42,330
283,3474.839732,17.5,283,43,331
284,3418.719326,17.0,284,44,332
285,3396.08216133333,16.65,285,45,333
286,3758.7787946666704,16.3,286,46,334
287,3784.27899,16.0,287,47,335
288,3621.3998366666706,15.7,288,0,0
289,3494.53065266667,15.75,289,1,1
290,3746.9398273333295,15.8,290,2,2
291,3653.3987079999997,15.4,291,3,3
292,3441.542172,15.0,292,4,4
293,3287.630902,15.05,293,5,5
294,3167.1885366666697,15.1,294,6,6
295,3122.7370339999998,14.85,295,7,7
296,3148.349296,14.6,296,8,8
297,3264.0783079999997,14.4,297,9,9
298,3488.623804,14.2,298,10,10
299,3711.2341413333293,14.7,299,11,11
300,4059.775112,15.2,300,12,12
301,4301.542506000001,16.45,301,13,13
302,4338.13836333333,17.7,302,14,14
303,4432.550042,18.55,303,15,15
304,4544.51728466667,19.4,304,16,16
305,4592.25493533333,19.65,305,17,17
306,4636.720704666671,19.9,306,18,18
307,4730.820553333329,20.45,307,19,19
308,4778.901162666671,21.0,308,20,20
309,4842.441936,21.55,309,21,21
310,4846.74146466667,22.1,310,22,22
311,4871.868193333329,22.8,311,23,23
312,4962.818168,23.5,312,24,24
313,4997.600394666671,24.35,313,25,25
314,5065.610238666671,25.2,314,26,26
315,5070.509664,25.0,315,27,27
316,5135.415321333329,24.8,316,28,28
317,5172.4110406666705,25.2,317,29,29
318,5235.413494666671,25.6,318,30,30
319,5314.300112,25.55,319,31,31
320,5290.74219533333,25.5,320,32,32
321,5278.322234,25.5,321,33,33
322,5055.469975999999,25.5,322,34,34
323,4889.65874333333,25.05,323,35,35
324,4672.68824133333,24.6,324,36,36
325,4522.189433333329,24.3,325,37,37
326,4415.9245326666705,24.0,326,38,38
327,4423.259744,23.55,327,39,39
328,4462.411978,23.1,328,40,40
329,4426.46177066667,23.0,329,41,41
330,4242.429556,22.9,330,42,42
331,4055.2991159999997,22.6,331,43,43
332,3901.0533546666707,22.3,332,44,44
333,3829.9766593333293,21.7,333,45,45
334,4245.89188466667,21.1,334,46,46
335,4209.52869,20.35,335,47,47
336,3988.117928,19.6,336,0,48
337,3844.0563186666704,19.5,337,1,49
338,4094.802754,19.4,338,2,50
339,3945.5356979999997,18.8,339,3,51
340,3721.9133486666706,18.2,340,4,52
341,3566.8617373333295,18.4,341,5,53
342,3428.208482,18.6,342,6,54
343,3398.98523333333,18.3,343,7,55
344,3424.61182733333,18.0,344,8,56
345,3531.0262053333295,17.95,345,9,57
346,3728.0010486666706,17.9,346,10,58
347,3970.0533546666707,18.45,347,11,59
348,4316.907142666671,19.0,348,12,60
349,4615.051075333329,20.85,349,13,61
350,4650.811967333329,22.7,350,14,62
351,4803.4351719999995,24.85,351,15,63
352,4956.17341,27.0,352,16,64
353,5051.470388000001,27.2,353,17,65
354,5166.91513666667,27.4,354,18,66
355,5232.64697933333,27.9,355,19,67
356,5294.9457600000005,28.4,356,20,68
357,5397.16832333333,29.3,357,21,69
358,5509.83555866667,30.2,358,22,70
359,5543.59529,30.0,359,23,71
360,5593.75973266667,29.8,360,24,72
361,5575.739186,30.1,361,25,73
362,5616.96270266667,30.4,362,26,74
363,5666.793714,31.95,363,27,75
364,5719.41747866667,33.5,364,28,76
365,5828.26241533333,33.65,365,29,77
366,5913.82682866667,33.8,366,30,78
367,6007.52034466667,34.25,367,31,79
368,6062.097038,34.7,368,32,80
369,5990.86581466667,34.25,369,33,81
370,5779.78318733333,33.8,370,34,82
371,5573.230726,33.55,371,35,83
372,5387.998249333329,33.3,372,36,84
373,5222.589456000001,32.9,373,37,85
374,5106.07915866667,32.5,374,38,86
375,5087.70316266667,31.95,375,39,87
376,5091.043391333329,31.4,376,40,88
377,4983.823354,30.2,377,41,89
378,4782.071974,29.0,378,42,90
379,4546.4368666666705,27.85,379,43,91
380,4337.217075333329,26.7,380,44,92
381,4209.1806513333295,25.85,381,45,93
382,4539.23279,25.0,382,46,94
383,4455.29201,23.95,383,47,95
384,4187.204354666671,22.9,384,0,96
385,3984.423378,21.95,385,1,97
386,4195.25047333333,21.0,386,2,98
387,4057.4396266666704,20.2,387,3,99
388,3802.4882046666708,19.4,388,4,100
389,3605.3709233333293,19.5,389,5,101
390,3489.87418266667,19.6,390,6,102
391,3454.730514,19.7,391,7,103
392,3507.18886266667,19.8,392,8,104
393,3615.2382273333296,19.95,393,9,105
394,3869.8083666666707,20.1,394,10,106
395,4069.8013493333297,20.05,395,11,107
396,4414.045894,20.0,396,12,108
397,4694.67312466667,20.2,397,13,109
398,4711.4972386666705,20.4,398,14,110
399,4799.1549126666705,20.55,399,15,111
400,4886.950372,20.7,400,16,112
401,4915.5285586666705,21.05,401,17,113
402,4934.20658266667,21.4,402,18,114
403,4978.622502666671,21.55,403,19,115
404,4996.032336666671,21.7,404,20,116
405,5020.235552,22.3,405,21,117
406,5006.48343733333,22.9,406,22,118
407,5012.87299066667,22.75,407,23,119
408,5040.578770666671,22.6,408,24,120
409,5094.28297,23.05,409,25,121
