"","date","ftse100"
"1",1984-04-02,-0.0114610595
"2",1984-04-03,0
"3",1984-04-04,0.006207778
"4",1984-04-05,-0.0053529305
"5",1984-04-06,0.0003648636
"6",1984-04-09,0.0079328896
"7",1984-04-10,0.0047041795
"8",1984-04-11,0.0166576625
"9",1984-04-12,0
"10",1984-04-13,-0.0208130369
"11",1984-04-16,0.0041606368
"12",1984-04-17,0.0054044316
"13",1984-04-18,0
"14",1984-04-19,0
"15",1984-04-20,-0.006987995
"16",1984-04-23,-0.0027066041
"17",1984-04-24,0.0130269586
"18",1984-04-25,0.0099124844
"19",1984-04-26,0.006543461
"20",1984-04-30,-0.0013177545
"21",1984-05-01,0.000791696
"22",1984-05-03,-0.0020216226
"23",1984-05-04,-0.0074863484
"24",1984-05-08,-0.0063892093
"25",1984-05-09,-0.0164329731
"26",1984-05-10,-0.0114410242
"27",1984-05-11,-0.0141453109
"28",1984-05-14,0.0095965713
"29",1984-05-15,0.0168881506
"30",1984-05-16,0.0131590888
"31",1984-05-17,-0.0068075958
"32",1984-05-18,-0.0025252525
"33",1984-05-21,-0.0002712477
"34",1984-05-22,-0.0163697205
"35",1984-05-23,-0.0122287606
"36",1984-05-24,-0.0275528251
"37",1984-05-25,0.0068919307
"38",1984-05-30,-0.0168266946
"39",1984-05-31,-0.0071552891
"40",1984-06-01,0.0395403194
"41",1984-06-04,0.0112422709
"42",1984-06-05,0.0006485084
"43",1984-06-06,0.0095361541
"44",1984-06-07,-0.0161408657
"45",1984-06-08,-9.3214e-05
"46",1984-06-11,-0.0066188123
"47",1984-06-12,-0.0005630631
"48",1984-06-13,-0.0088262911
"49",1984-06-14,-0.0261462675
"50",1984-06-15,0.0069066148
"51",1984-06-18,0.0226065114
"52",1984-06-19,-0.0029286726
"53",1984-06-20,-0.0087170741
"54",1984-06-21,-0.0057350411
"55",1984-06-22,-0.0055758508
"56",1984-06-25,-0.0047370456
"57",1984-06-26,-0.0048567266
"58",1984-06-27,0.0140556369
"59",1984-06-28,-0.0094330542
"60",1984-06-29,0.0118550189
"61",1984-07-02,0.0064342649
"62",1984-07-03,0.0049618321
"63",1984-07-04,0.0092100266
"64",1984-07-05,-0.002069809
"65",1984-07-06,-0.0186669181
"66",1984-07-09,-0.0107599193
"67",1984-07-10,-0.0287462368
"68",1984-07-11,-0.00129987
"69",1984-07-12,-0.0024028835
"70",1984-07-13,-0.0037133681
"71",1984-07-16,0.0135992747
"72",1984-07-17,0.0007950706
"73",1984-07-18,-0.0073485601
"74",1984-07-19,0.0113045218
"75",1984-07-20,-0.0025719656
"76",1984-07-23,-0.0191411286
